"team_api_id","team_long_name","buildUpPlaySpeed","buildUpPlayDribbling","buildUpPlayPassing","BuildUpPlay","ChanceCreation","Defense","No_Of_Goals"
1601,"Ruch Chorzów",53,48,55,156,205,175,280
1773,"Oud-Heverlee Leuven",52,51,50,153,157,137,126
1957,"Jagiellonia Białystok",66,54,69,189,165,210,287
2033,"S.C. Olhanense",65,62,55,182,178,155,138
2182,"Lech Poznań",67,55,57,179,208,181,372
2183,"P. Warszawa",34,0,47,81,210,177,184
2186,"Cracovia",57,50,59,166,210,205,235
4087,"Évian Thonon Gaillard FC",61,51,65,177,182,168,180
4170,"US Boulogne Cote D'Opale",50,0,37,87,177,200,31
6269,"Novara",66,57,62,185,181,173,34
6351,"KAS Eupen",50,0,55,105,160,155,28
6391,"GFC Ajaccio",61,53,52,166,179,146,37
6403,"FC Paços de Ferreira",63,40,50,153,184,168,292
6413,"PEC Zwolle",57,41,56,154,165,181,204
6421,"Leixões SC",30,0,30,60,165,90,55
6433,"Go Ahead Eagles",58,47,64,169,132,141,74
6493,"AC Bellinzona",47,0,54,101,175,151,128
6547,"FC Penafiel",54,54,39,147,146,121,29
6631,"FC Dordrecht",39,33,62,134,176,164,24
7730,"FC Lausanne-Sports",51,55,60,166,172,170,99
7788,"SC Cambuur",45,39,57,141,159,138,119
7794,"SC Bastia",67,61,52,180,162,210,165
7819,"SM Caen",65,50,52,167,180,205,220
7841,"Rio Ave FC",66,47,50,163,190,161,248
7842,"Estoril Praia",66,56,52,174,139,150,167
7844,"Vitória Guimarães",65,52,47,164,191,182,300
7869,"Córdoba CF",53,53,53,159,186,133,22
7878,"Granada CF",57,62,59,178,203,171,179
7943,"Sassuolo",57,71,60,188,193,154,141
7955,"Neuchâtel Xamax",60,0,50,110,190,150,171
8019,"Górnik Łęczna",41,40,59,140,139,149,61
8020,"Polonia Bytom",46,0,50,96,150,185,245
8021,"Zagłębie Lubin",55,49,60,164,203,210,207
8023,"Pogoń Szczecin",67,48,54,169,185,180,152
8024,"Widzew Łódź",66,52,72,190,192,160,122
8025,"Śląsk Wrocław",65,55,63,183,188,181,318
8027,"Zawisza Bydgoszcz",54,51,40,145,168,143,75
8028,"Piast Gliwice",64,52,67,183,200,195,204
8030,"Lechia Gdańsk",63,48,52,163,201,205,279
8031,"Polonia Bytom",46,0,50,96,150,185,88
8033,"Podbeskidzie Bielsko-Biała",72,55,66,193,166,152,169
8066,"Inverness Caledonian Thistle",61,49,67,177,192,155,345
8121,"Angers SCO",65,61,50,176,182,151,40
8152,"FC St. Pauli",60,52,64,176,208,189,35
8165,"1. FC Nürnberg",46,62,50,158,198,163,193
8177,"Hertha BSC Berlin",68,52,55,175,197,172,238
8178,"Bayer 04 Leverkusen",73,30,55,158,217,212,483
8191,"Burnley",70,32,74,176,212,205,70
8194,"Fortuna Düsseldorf",72,69,69,210,193,180,39
8197,"Leicester City",70,41,70,181,209,210,114
8203,"KV Mechelen",67,42,60,169,155,190,285
8226,"TSG 1899 Hoffenheim",75,49,63,187,202,203,400
8234,"FC Ingolstadt 04",55,59,54,168,159,145,33
8242,"Odra Wodzisław",30,0,45,75,155,205,50
8244,"Widzew Łódź",66,52,72,190,192,160,50
8245,"Korona Kielce",75,69,66,210,187,195,237
8262,"SV Darmstadt 98",59,43,77,179,174,129,38
8277,"Vitesse",57,55,50,162,193,184,423
8284,"Dundee FC",50,47,49,146,164,156,127
8295,"Karlsruher SC",70,55,55,180,206,176,30
8302,"Sevilla FC",68,53,65,186,208,198,478
8305,"Getafe CF",54,42,45,141,182,170,345
8306,"UD Las Palmas",54,55,56,165,198,176,45
8315,"Athletic Club de Bilbao",70,46,69,185,192,187,415
8322,"Arka Gdynia",46,0,45,91,177,205,77
8342,"Club Brugge KV",67,52,54,173,182,200,421
8344,"Cardiff City",67,41,70,178,210,210,32
8348,"Moreirense FC",38,58,43,139,144,138,101
8350,"1. FC Kaiserslautern",66,54,55,175,194,210,72
8357,"SpVgg Greuther Fürth",68,60,53,181,196,181,26
8358,"SC Freiburg",59,58,61,178,192,171,245
8370,"Rayo Vallecano",53,52,55,160,170,183,247
8371,"CA Osasuna",55,53,54,162,193,182,232
8372,"SD Eibar",62,51,52,165,179,142,83
8388,"CD Numancia",71,48,53,172,166,167,38
8394,"Real Zaragoza",52,52,50,154,179,158,159
8398,"FC Energie Cottbus",64,47,55,166,194,206,30
8406,"FC Augsburg",68,51,69,188,196,176,201
8426,"Partick Thistle F.C.",48,50,47,145,162,145,135
8429,"Hamilton Academical FC",70,48,70,188,214,195,185
8455,"Chelsea",70,52,60,182,210,172,583
8456,"Manchester City",70,35,60,165,215,184,606
8457,"Dunfermline Athletic",55,0,60,115,168,148,40
8460,"SC Paderborn 07",73,46,62,181,172,149,31
8462,"Portsmouth",70,32,70,172,196,167,72
8464,"N.E.C.",49,42,59,150,190,152,310
8466,"Southampton",70,41,55,166,205,210,216
8467,"St. Johnstone FC",70,52,58,180,154,170,308
8472,"Sunderland",67,43,70,180,214,182,333
8475,"Waasland-Beveren",62,45,53,160,146,114,105
8479,"RC Recreativo",50,53,58,161,169,161,34
8481,"AS Nancy-Lorraine",65,48,49,162,197,210,203
8483,"Blackpool",70,44,72,186,205,210,55
8485,"Aberdeen",70,64,70,204,212,200,365
8521,"Stade Brestois 29",65,48,62,175,181,210,99
8524,"Atalanta",65,45,50,160,173,186,283
8525,"Willem II",72,36,63,171,188,168,222
8526,"De Graafschap",37,0,41,78,157,147,130
8528,"Wigan Athletic",70,37,70,177,197,197,200
8529,"Cagliari",67,51,53,171,203,190,309
8530,"Catania",75,52,50,177,195,156,251
8533,"Chievo Verona",66,54,67,187,184,181,285
8534,"Empoli",66,43,54,163,196,178,86
8535,"Fiorentina",67,54,51,172,188,184,440
8537,"Livorno",65,58,67,190,194,174,66
8540,"Palermo",66,66,50,182,195,163,351
8543,"Lazio",68,69,55,192,220,195,417
8548,"Rangers",65,53,55,173,219,200,324
8549,"Middlesbrough",70,32,72,174,212,176,28
8550,"FC Metz",65,48,65,178,180,165,31
8551,"Siena",50,49,50,149,186,165,149
8558,"RCD Espanyol",68,52,55,175,212,188,338
